"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves,Views
18329413636198126,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to @codepathorg for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company and opportunities!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 10:00",https://www.instagram.com/p/DAbZ6yQPfJQ/,"IG image",,Lifetime,1232,14,0,0,0,0,2315
18333375775177234,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to ETHMiami for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 09:00",https://www.instagram.com/p/DAbTFLWvail/,"IG image",,Lifetime,1121,25,1,2,1,2,2169
17983224107726334,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to GitHub for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 🤩 Super excited to see what their sponsor challenge is too 👀

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 08:00",https://www.instagram.com/p/DAbMIcQvr2L/,"IG image",,Lifetime,1134,30,0,0,0,1,2223
17850320244263737,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to GeeksforGeeks for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 07:00",https://www.instagram.com/p/DAbFUQ0PvyO/,"IG image",,Lifetime,1136,21,0,0,0,0,2323
18269728327217741,17841406860905948,init.fiu,"INIT FIU","Meet the organizers for #ShellHacks 2024 🥳

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",14,"09/27/2024 06:41",https://www.instagram.com/reel/DAbDCYvxN20/,"IG reel",,Lifetime,4097,287,10,6,4,4,9306
17913498723004589,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to Chainguard for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/26/2024 12:40",https://www.instagram.com/p/DAZHcdhPoZA/,"IG image",,Lifetime,792,22,0,0,0,1,1409
18071509153522308,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to Patient Safety Technology Challenge for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn about their challenge proposition. Make sure to stop by and ask!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/26/2024 11:40",https://www.instagram.com/p/DAZAiG0Pjx1/,"IG image",,Lifetime,909,22,0,0,0,0,1737
18296018878201342,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to @brkthroughtech for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn about their sprinternship and other opportunities 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/26/2024 10:40",https://www.instagram.com/p/DAY5qerP7tC/,"IG image",,Lifetime,901,24,1,0,0,1,1766
18077794306545277,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to North Star Caterings for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/26/2024 09:40",https://www.instagram.com/p/DAYyyooPsKd/,"IG image",,Lifetime,950,24,0,0,0,0,1822
18162838165315813,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to @cafecultura_mia for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company! Make sure to ask!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/26/2024 08:52",https://www.instagram.com/p/DAYtRLUP6JL/,"IG image",,Lifetime,1112,32,2,0,1,0,2088
17997835052689726,17841406860905948,init.fiu,"INIT FIU","🥳 Get ready for some merch this weekend! Which shirt do you think will be yours?

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",13,"09/25/2024 10:17",https://www.instagram.com/reel/DAWSDBAvUfk/,"IG reel",,Lifetime,2591,105,17,2,6,4,6067
18062489329725330,17841406860905948,init.fiu,"INIT FIU","🥳 Congratulations to all of our team leads this semester 😍

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/24/2024 12:30",https://www.instagram.com/p/DAT8t1rPXHz/,"IG carousel",,Lifetime,1450,126,14,0,2,5,4055
17980411787749881,17841406860905948,init.fiu,"INIT FIU","🥳 Congratulations to all of our team leads this semester 😍

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/24/2024 12:15",https://www.instagram.com/p/DAT69QvvHsk/,"IG carousel",,Lifetime,1499,96,28,3,4,1,3789
17908956741009686,17841406860905948,init.fiu,"INIT FIU","🥳 Congratulations to all of our team leads this semester 😍

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/24/2024 11:53",https://www.instagram.com/p/DAT4aWNPmzB/,"IG carousel",,Lifetime,2347,207,47,0,12,9,5624
17940842561899636,17841406860905948,init.fiu,"INIT FIU","🔔 Join us tomorrow where alongside @microsoft we will be hosting a pre-ShellHacks event! At this event, prepare to ready everything you’ll need for ShellHacks while also meeting @microsoft representatives! 🥳

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/23/2024 08:43",https://www.instagram.com/p/DAQ977SvmUT/,"IG image",,Lifetime,1948,79,33,1,0,10,3643
