media_id,pull_date,caption,media_type,product_type,permalink,timestamp,like_count,comments_count,reach,likes,comments,saved,shares,total_interactions,views,avg_watch_time_sec,total_watch_time_sec,post_type,publish_date_est,publish_year,publish_month,publish_month_name,publish_weekday,publish_hour_est,publish_time_label,engagement_rate,engagement_rate_followers,rewatch_rate,profile_visits,follows
18049180979339002,2026-08-16,"Tired of coding things you can’t see?  Pull up to Interacting with Your Hardware! and actually make stuff do things. Lights, sensors, buttons—we’re wiring it up and making it move. No experience needed, just come ready to build and vibe. 🔧✨  #INITExplore #HardwareVibes #FIU #WeAreINIT #HandsOnTech #BuildStuff #TechMadeFun #computerscience",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIAWS8Aphc6/,2025-04-04T01:00:00+0000,37,0,686,37,0,3,2,42,2250,,,IG carousel,2025-04-03,2025,4,April,Thursday,21,9 PM,6.122,0.71,3.28,8.0,0.0
18054360893237311,2026-08-16,Applying for internships can be tough but the key is never giving up!  Our Reach workshops can help you reach that dream internship 💫  #weareinit #computerscience #cybersecurity #womenintech #technology #career #fiu,VIDEO,REELS,https://www.instagram.com/reel/DIDDRGBOltJ/,2025-04-05T02:22:22+0000,81,1,1436,81,1,8,5,95,2815,12.37,20908.34,IG reel,2025-04-04,2025,4,April,Friday,22,10 PM,6.616,1.607,1.96,,
18276673009251434,2026-08-16,"Want to work at a top tech company? 👀  Here’s your chance!  We’re teaming up with Splunk for a virtual info session where you can connect directly with recruiters, learn about open roles, and get tips on landing internships and jobs in tech.  It’s free, it’s online, and it might just be your next big opportunity. 💼💻  #ComputerScience #TechCareers #InternshipSearch #RecruiterConnect #SplunkCareers #FIU #WeAreINIT #STEMJobs #TechNetworking",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIHE7IMO3iB/,2025-04-06T15:43:33+0000,67,3,1102,67,3,6,11,87,3302,,,IG carousel,2025-04-06,2025,4,April,Sunday,11,11 AM,7.895,1.471,2.996,18.0,0.0
18024768401676783,2026-08-16,"Ever wondered if AI could help you predict the stock market? 📈  Come through for Stock Market Insights with AI and learn how to use machine learning models to spot trends and forecast prices—no finance degree needed. Oh, and did we mention there’s free pizza? 🍕🤖   #MachineLearning #AIPowered #StockMarketInsights #TechStudents #FIU #WeAreINIT #STEMEvents #PizzaAndPredictions",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIJXBX5PUlQ/,2025-04-07T13:00:00+0000,49,2,861,49,2,3,5,59,2616,,,IG carousel,2025-04-07,2025,4,April,Monday,9,9 AM,6.852,0.998,3.038,20.0,0.0
18395999122109654,2026-08-16,"Movie + snacks + good people = best kind of study break! 🍿🎬  Come to Movie Night and chill with us—no code, no stress, just good vibes.  #fiu #movienight #womenintech #computersciencestudent #cybersecurity #unwindwithfriends",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIKU0VWPt8Y/,2025-04-07T22:00:00+0000,88,2,1324,88,2,3,6,99,3457,,,IG carousel,2025-04-07,2025,4,April,Monday,18,6 PM,7.477,1.674,2.611,20.0,0.0
18122638078429558,2026-08-16,"Interview season’s coming... and you know what’s always on the menu? Dynamic Programming.  Learn how to recognize patterns, break down problems, and impress recruiters-one subproblem at a time. 💼  #fiu #interviewprep #dynamicprogramming #computersciencestudent #cvbersecuritv #programming init",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIL72MhOkow/,2025-04-08T13:00:00+0000,38,0,676,38,0,0,2,40,2389,,,IG carousel,2025-04-08,2025,4,April,Tuesday,9,9 AM,5.917,0.676,3.534,13.0,0.0
18074855386655396,2026-08-16,When it’s life or death but the Shellhack form comes first 🫣🤣  #weareinit #computerscience #cybersecurity #womenintech #technology #hackathon #fiu,VIDEO,REELS,https://www.instagram.com/reel/DIMQgjFOc7x/,2025-04-08T16:00:00+0000,78,3,1772,78,3,4,8,94,3786,6.77,14254.3,IG reel,2025-04-08,2025,4,April,Tuesday,12,12 PM,5.305,1.59,2.137,,
18043345385149231,2026-08-16,"Join us to build your own mini bot and grab some free pizza while you’re at it. It’s hands-on, beginner-friendly, and open to everyone. 🚀🍕  #fiu #computerscience #buildrobot #weareinit #cybersecurity #stem",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIRFciZvO1P/,2025-04-10T13:00:00+0000,57,1,950,57,1,2,0,60,3042,,,IG carousel,2025-04-10,2025,4,April,Thursday,9,9 AM,6.316,1.015,3.202,11.0,0.0
18501515956012012,2026-08-16,"It’s time to show off what we’ve been building 👀  Join us for Demo Day as our Build teams reveal the awesome projects they’ve been working on all semester long! From AI to web apps to hardware hacks—you’ll see it all. Come support your peers, get inspired, and celebrate innovation with us 🧡💻  #TechShowcase #FIU #StudentProjects #Innovation #STEM #BuildProgram #WeAreINIT #ComputerScience #EngineeringLife #DemoDay2025",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIU8oR5vg4I/,2025-04-12T01:00:00+0000,111,0,1380,111,0,4,5,120,4016,,,IG carousel,2025-04-11,2025,4,April,Friday,21,9 PM,8.696,2.029,2.91,18.0,1.0
18022359860492158,2026-08-16,"Meta is here to tell you how you can land a internship or even full time with them!  You’ll get the inside scoop on their recruiting process, hear from engineers and get tips to stand out in the application process ⭐️  This is our last industry event of the semester- you will not want to miss out!  #weareinit #fiu #computerscience #meta #facebook  #instagram #onlineevent #recruitingtips",CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/DIbedw4OiYB/,2025-04-14T13:51:33+0000,114,0,1895,114,0,3,20,137,5014,,,IG carousel,2025-04-14,2025,4,April,Monday,9,9 AM,7.23,2.317,2.646,17.0,1.0
